VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
N13/10-274	75338	KMJTG18JPDC914442	BM-15C-0083
N13/10-389	22404	KNAPH813BD1P98119	BM-15C-1005
N13/10-494	13812	KMHGN41CDEU000330	BM-15C-1005
N13/11-063	47817	KNAPH81BBD1P98115	BM-15C-0001
N13/11-221	40022	KMHJU816FEU000108	BM-15C-0108
N13/11-384	27001	KMHD741RGD1T98020	VM-18L-0045
N13/12-113	38893	KNAJP81EFEK000010	BM-15C-0064
N13/12-225	63755	KMFFA18LPEC900022	BM-15C-0167
N13/12-394	24780	TMAD251AAEJ136837	BM-15C-0111
N14/01-066	14032	KMHGN41EDEU000451	BM-15C-0201
N14/01-101	14027	KMHGR41EDEU000552	BM-15C-0186
N14/01-197	18188	KMHE341FBEA000325	BM-15C-0191
N14/01-210	18575	KMHE3411BD1T98013	BM-15C-0172
N14/01-350	64376	KMJNG18TPDC802594	BM-15C-0053
N14/01-444	15898	KMHFK41CBFA367294	BM-15C-0015
N14/02-234	21918	KNDME5C17F6000202	BM-15C-0190
N14/02-323	39008	KNAJP81EFEK000221	BM-15C-0202
N14/02-402	52609	KMJTK18MPEC999902	BM-15C-0018
N14/02-449	48869	KNALL41EBEA001181	VM-18L-0132
N14/02-466	17349	KMHST81D8EU296283	BM-16L-0057
N14/02-507	84735	KMHGN41EDFU011110	BM-16L-1007
N14/02-507	14071	KMHGN41EDFU011110	BM-16L-1008
N14/02-572	14074	KMHGR41EDEU000438	BM-15C-0171
N14/03-125	18864	KMHE341FBEA000356	BM-15C-0105
N14/03-241	32981	KM8J3AA24E1P98078	BM-15C-0014
N14/03-255	35341	KNAGR4A62E5435088	BM-15C-0154
N14/04-002	42582	KM8JU3AC7DU780558	BM-15C-1005
N14/04-100	39103	KNDJX3AEXE7000307	BM-15C-0202
N14/04-247	22608	KNAPH81ADFA000012	BM-15C-0132
N14/04-268	22064	KNDMC5C19F6000417	BM-15C-0034
N14/04-389	22554	KNAPH813DF5000103	BM-15C-1005
N14/05-001	64681	KMJUG17RPEC900001	BM-15C-0124
N14/05-001	66885	KMJUG17RPEC900001	BM-15C-0124
N14/05-057	63763	KMEKA18PPEC990007	BM-15C-0010
N14/05-296	23066	5XYPK3A18GG000012	BM-15C-0168
N14/05-383	63800	KMFVA17RPEC999013	BM-15C-0046
N14/05-449	39106	KNAJP81EFFK000386	BM-15C-0202
N14/05-478	24440	KMHD351CGFU193990	BM-15C-0184
N14/06-011	22135	KNHMF37ABFS000517	BM-15C-0040
N14/06-142	18949	KMHE241FBFA031753	BM-15C-0038
N14/06-160	22819	KNAPG8132F5000365	BM-15C-0002
N14/06-160	48236	KNAPG8132F5000365	BM-15C-0002
N14/06-176	18958	KMHE341DBFA026424	BM-15C-0068
N14/06-254	17023	KMHSW81UDFU313389	BM-15C-0130
N14/06-344	70189	KMHTC61EBFU212899	BM-15C-0029
N14/06-389	22836	KNAPK81ADFA000285	BM-15C-0002
N14/06-389	48506	KNAPK81ADFA000285	BM-15C-0202
N14/06-454	18974	KMHE241FBFA039010	BM-15C-0133
N14/06-456	22867	KNAPH8116F5000316	BM-15C-0133
N14/07-387	24992	TMAD381UGFJ065488	BM-16L-0033
N14/07-596	22158	KNAMC81ABFS005109	BM-15C-0124
N14/08-096	14531	KNALW414BFS022741	BM-15C-0077
N14/08-431	22944	KNAPK81ADFA000395	BM-15C-0017
N14/08-443	22945	KNAPK81BDFA000397	BM-16L-0006
N14/08-443	48362	KNAPK81BDFA000397	BM-16L-0006
N14/08-493	23656	KMHLC81UGFU094084	BM-15C-0121
N14/09-047	56302	KMHD741UGE1P98128	VM-18L-0037
N14/09-095	22946	KNAPK81BDFA005780	BM-15C-0126
N14/10-136	50684	KMHFH41EBFA430317	BM-15C-0109
N14/10-138	50682	KMHFH41EBFA430313	BM-15C-0046
N14/10-138	16032	KMHFH41EBFA430313	BM-15C-0046
N14/10-210	18529	KMHE5411BFA000188	BM-15C-0010
N14/10-210	44264	KMHE5411BFA000188	BM-15C-0172
N14/10-421	18490	KMHE34L13FA000128	BM-15C-0043
N14/10-421	44225	KMHE34L13FA000128	BM-15C-0043
N14/10-456	43886	KNAFJ41BBFA348950	BM-15C-0027
N14/11-149	33277	KMHJ2815GFU000112	BM-15C-0073
N14/11-175	33269	KMHJ5815GFU000179	BM-15C-0180
N14/11-186	47325	KMHT3611GE1T98002	BM-15C-0057
N14/12-165	19109	5NPE34AB0FH081534	BM-16L-0048
N14/12-243	19120	5NPE34AF4FH081541	BM-15C-0037
N14/12-258	29687	9BHBG51DBFP311354	BM-15C-0061
N14/12-348	30132	KMHG341ABE1T98090	BM-15C-0044
N14/12-376	21297	KMHDG41UBFU424080	BM-15C-0113
N14/12-419	30130	KMHG34AABE1T98088	BM-15C-0060
N14/12-432	16042	KMHFF41RBFA449079	BM-15C-0193
N14/12-523	17940	KMHE341CBFA074580	BM-15C-0101
N14/12-536	32292	KMHCT41EBEU675727	BM-15C-0155
N14/12-579	19149	KMHE3412BFA000779	BM-15C-0165
N14/12-591	30077	KMHG341DBE1T98025	BM-15C-0016
N14/12-597	22963	KNAPS81ABFA036030	BM-15C-0144
N15/00-001	14961	VIR9001	VM-21C-0192
N15/00-002	14962	VIR9002	VM-18L-0297
N15/00-003	19327	VIR9003	BM-15C-1005
N15/01-009	71091	KMHTC61C9FU244257	BM-15C-0002
N15/01-026	33454	KM8J33A24FU000318	BM-16L-0050
N15/01-167	17067	KMHSW81UBE1P98048	BM-15C-0135
N15/01-193	45843	5XYZUALB2E1P98018	BM-15C-0082
N15/01-245	30144	KMHG341DBE1P98103	BM-15C-0091
N15/01-246	30143	KMHG341HBE1P98102	BM-15C-0102
N15/01-255	40720	KMJTA18HPFC999001	BM-15C-0087
N15/01-262	19156	KMHE3411BFA000266	BM-15C-0128
N15/01-262	44754	KMHE3411BFA000266	BM-15C-0164
N15/01-291	13293	KMHGN4JE5FU050553	BM-15C-0149
N15/01-334	45841	5XYZUALB9E1P98016	BM-15C-0075
N15/01-335	30131	KMHG341DBE1T98089	BM-15C-0073
N15/01-361	40393	KMHH351A3E1P98053	BM-15C-0111
N15/01-385	63815	KMFHA17GPFC000010	BM-15C-0131
N15/01-434	40380	KMHH351AGE1P98040	BM-15C-0129
N15/01-435	44756	KMHE5411BFA002468	BM-15C-0061
N15/01-467	41574	KNASC5146E1T98012	BM-15C-0169
N15/01-470	40070	KNACT41DBE1T9T304	BM-15C-0077
N15/01-506	38826		BM-15C-0166
N15/02-068	40398	KMHH351A2E1P98058	BM-15C-0112
N15/02-106	27433	KMHR241A1E1P98005	BM-15C-0117
N15/02-121	26832	KNACC5AC9F1P98010	BM-15C-0088
N15/02-122	26824	KNACC51CGF1P98001	BM-15C-0019
N15/02-195	27421	5NPD74LA5E1P98023	BM-15C-0071
N15/02-236	27422	5NPD74LA7E1P98024	BM-15C-0086
N15/02-243	40150	KNALB411BE1T98016	BM-15C-0068
N15/02-246	26830	KNACC51CGF1P98008	BM-15C-0125
N15/02-260	26482	KNACC5AC5F1P98003	BM-15C-0097
N15/02-275	20017	U5YHN513AFL172864	BM-15C-0099
N15/02-276	20015	U5YHN513AFL172862	BM-15C-0058
N15/02-277	20014	U5YHN513AFL172790	BM-15C-0072
N15/02-278	20012	U5YHN513AFL172707	BM-15C-0025
N15/02-281	20006	U5YHN513AFL172464	BM-15C-0076
N15/02-282	20005	U5YHN513AFL172463	BM-15C-0056
N15/02-283	20003	U5YHN513AFL172388	BM-15C-0036
N15/02-284	20001	U5YHN513AFL172329	BM-15C-0063
N15/02-285	19982	U5YHN313AFL022313	BM-15C-0029
N15/02-286	19924	U5YHN513AFL159529	BM-15C-0076
N15/02-389	20016	U5YHN513AFL172863	BM-15C-0041
N15/02-390	20011	U5YHN513AFL172706	BM-15C-0074
N15/02-395	35728	KMHWH81KBFU714352	BM-15C-0165
N15/02-400	37805	KNAGU411BGA000013	BM-15C-0053
N15/02-507	42209	LBELMBKC4EY552823	BM-15C-0079
N15/02-521	28306	KMHFR412BFA005307	BM-15C-0051
N15/02-550	23951	KMHLA41DBFU065779	BM-15C-0100
N15/03-056	27415	5NPD74LAXE1P98017	BM-15C-0155
N15/03-079	38830		BM-15C-0167
N15/03-079	40229	KNALC411BE1T98098	BM-15C-0167
N15/03-094	40172	KNALB41ABE1T98038	BM-15C-0037
N15/03-110	42208	LBELMBKC2EY552089	BM-15C-0097
N15/03-131	39117	KNAJX81EFF7003189	BM-15C-0202
N15/03-145	40184	KNALB41ABE1T98051	BM-15C-0190
N15/03-170	47937	5XYPH1AB1F1T98001	BM-15C-0176
N15/03-188	37887	KNAGU415GGA000100	BM-15C-0181
N15/03-232	26834	KNACC51CGF1P98012	BM-15C-0162
N15/03-250	30208	KMHG31AHBE1T98119	BM-15C-0149
N15/03-254	26826	KNACC5AC2F1P98004	BM-15C-0144
N15/03-266	45526	KNACC51CGF1P98025	BM-15C-0104
N15/03-267	26963	KNACC51CGF1P98005	BM-15C-0080
N15/03-282	35773	KMHWH81KAFU716694	BM-15C-0075
N15/03-299	26849	KNACC5AC9F1P98027	BM-15C-0194
N15/03-308	26850	KNACC5AC6F1P98028	BM-15C-0185
N15/03-335	26874	KNACC5AC4F1P98052	BM-15C-0150
N15/03-355	26843	KNACC5AC5F1P98021	BM-15C-0048
N15/03-358	26836	KNAcc51CGF1P98014	BM-15C-0107
N15/03-364	67553	KNAHU815GF7111036	BM-15C-0072
N15/03-367	46633	KMHIT41AAE1T9T316	BM-15C-0192
N15/03-397	26853	KNACC51CGF1P98031	BM-15C-0025
N15/03-400	40167	KNALB411BE1T98033	BM-15C-0083
