VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
U19/04-033	137324	KMTGA41BDLU000133	VM-18L-0098
U19/04-034	137323	KMTGA41BBLU000125	VM-18L-0090
U19/06-012	139796	KMTHB81DDLU000096	VM-18L-0119
U19/06-014	139560	KMTHA81BDLU000058	VM-18L-0112
U19/06-025	139418	KMHDUAHD8K1000047	VM-18L-0147
U19/07-001	139204	KMTHC81CDLU000010	VM-18L-0168
U19/09-001	146994	RG3_Fleet	VM-18L-0187
U19/10-001	148273	KMHF3413BLA064560	BM-16L-0072
U19/10-002	148281	KMHF241DBLA284625	BM-16L-0044
U19/10-003	148280	KMHF341GBLA285620	BM-16L-0058
U19/11-034	147724	KMHLL4LL9LU000184	VM-18L-0273
U19/12-052	147728	KMHLL4LLLLU000249	VM-18L-0268
U20/01-018	153422	KMHL141CGLA082076	VM-18L-0230
U20/01-018_1	160934	KMHL141CGLA082076_1	BM-16L-0034
U20/01-021	153394	KMHBN51HAM1000326	VM-18L-0120
U20/01-038	154063	KMHLN4AG7M1000056	BM-15C-0031
U20/03-020	157081	KMHLT41FGMU000537	BM-15C-0192
U20/05-019	159558	KMHJE81AAN1000118	VM-18L-0036
U20/05-019_1	160774	KMHJE81AAN1000118_1	BM-15C-0120
U20/06-013	157616	KMTMBD1ADLU000067	VM-18L-0043
U20/06-014	157600	KMTMCD1CDMU000065	VM-18L-0176
U20/06-015	157592	KMTMAD1BDLU000057	VM-18L-0052
U20/06-055	165654	U20/06-055_TEMP	VM-18L-0176
U20/06-056	165655	U20/06-056_TEMP	VM-18L-0052
U20/06-057	165656	U20/06-057_TEMP	VM-18L-0043
U20/07-026	163068	KMTMB81ABMU000278	VM-18L-0053
U20/07-026_1	165874	KMTMB81ABMU000278_1	BM-15C-0170
U20/08-092	164378	KMHLN41GBMU014796	BM-16L-0033
U20/10-007	165725	KMTMC81CDMU000446	VM-18L-0251
U20/99-010	167154	U20/99-010_TEMP	VM-18L-0043
U21/03-018	174535	KMTGB4SD9MU064411	VM-18L-0063
U21/07-045	180162	KMHM541CPM1P98067	VM-21C-0192
U21/11-006	188232	KM8R2DHE2NU396260	VM-21C-0020
U21/RS4T3-C077	185815	KMTFA41DBNU000515	VM-18L-0098
U22/08-006	201874	KMTFA41DDNU004119	VM-18L-0110
U22/08-007	201875	KMTFA41DDNU004121	VM-18L-0148
U71-1212	139294	EU_71-1212	VM-18L-0099
UM1301-C007	47666	UM1301-C007	BM-16L-0002
UM5902-B043	47994	KNAPK81BBFA000076	BM-15C-1006
UM5903-C070	22857	KNAPK81BDFA000288	BM-15C-1005
X21/99-999	170414	X21/99-999_TEMP	BM-15C-0140
Y20/01-001	179274	Y20/01-001_TEMP	BM-16L-0041
